PERMNO,Company Name,Ticker,SP500 Start,SP500 End
49680,DANAHER CORP,DHR,"Nov. 18, 1998","Dec. 31, 2024"
50876,LILLY ELI & CO,LLY,"Nov. 19, 1970","Dec. 31, 2024"
51369,TERADYNE INC,TER,"Sept. 21, 2020","Dec. 31, 2024"
52038,SYSCO CORP,SYY,"Dec. 18, 1986","Dec. 31, 2024"
52090,MCCORMICK & CO INC,MKC,"March 21, 2003","Dec. 31, 2024"
52230,ROBERT HALF INTERNATIONAL INC,RHI,"Dec. 5, 2000",21-Jun-24
52329,JACOBS SOLUTIONS INC,J,"Oct. 26, 2007","Dec. 31, 2024"
52476,EQUIFAX INC,EFX,"June 19, 1997","Dec. 31, 2024"
52695,GRAINGER W W INC,GWW,"May 14, 1981","Dec. 31, 2024"
52708,LENNAR CORP,LEN,"Oct. 4, 2005","Dec. 31, 2024"
52978,HASBRO INC,HAS,"Sept. 13, 1984","Dec. 31, 2024"
53065,INTERPUBLIC GROUP COS INC,IPG,"Oct. 30, 1992","Dec. 31, 2024"
53613,MICRON TECHNOLOGY INC,MU,"Sept. 27, 1994","Dec. 31, 2024"
54148,PULTE GROUP INC,PHM,"April 12, 1984","Dec. 31, 2024"
55976,WALMART INC,WMT,"Aug. 19, 1982","Dec. 31, 2024"
56274,CONAGRA BRANDS INC,CAG,"Sept. 1, 1983","Dec. 31, 2024"
56573,ILLINOIS TOOL WORKS INC,ITW,"Feb. 13, 1986","Dec. 31, 2024"
57568,BALL CORP,BALL,"Oct. 4, 1984","Dec. 31, 2024"
57665,NIKE INC,NKE,"Nov. 3, 1988","Dec. 31, 2024"
57809,NORDSON CORP,NDSN,"Feb. 15, 2022","Dec. 31, 2024"
57904,AFLAC INC,AFL,"May 28, 1999","Dec. 31, 2024"
58246,NORTHERN TRUST CORP,NTRS,"Jan. 30, 1998","Dec. 31, 2024"
58413,FEDERAL REALTY INVESTMENT TR NEW,FRT,"Feb. 1, 2016","Dec. 31, 2024"
58683,SOUTHWEST AIRLINES CO,LUV,"July 13, 1994","Dec. 31, 2024"
58819,ALLIANT ENERGY CORP,LNT,"July 1, 2016","Dec. 31, 2024"
59176,AMERICAN EXPRESS CO,AXP,"July 1, 1976","Dec. 31, 2024"
59248,MOLSON COORS BEVERAGE CO,TAP,"July 1, 1976","Dec. 31, 2024"
59300,U D R INC,UDR,"March 7, 2016","Dec. 31, 2024"
59328,INTEL CORP,INTC,"Dec. 9, 1976","Dec. 31, 2024"
59408,BANK OF AMERICA CORP,BAC,"July 1, 1976","Dec. 31, 2024"
59459,TRAVELERS COMPANIES INC,TRV,"July 1, 1976","Dec. 31, 2024"
60097,MEDTRONIC PLC,MDT,"Oct. 23, 1986","Dec. 31, 2024"
60206,SNAP ON INC,SNA,"Sept. 16, 1982","Dec. 31, 2024"
60442,P N C FINANCIAL SERVICES GRP INC,PNC,"April 14, 1988","Dec. 31, 2024"
60506,PACCAR INC,PCAR,"Oct. 2, 1980","Dec. 31, 2024"
60599,LUMEN TECHOLOGIES INC,LUMN,"March 25, 1999",17-Mar-23
60628,FEDEX CORP,FDX,"Nov. 6, 1980","Dec. 31, 2024"
60871,ANALOG DEVICES INC,ADI,"Oct. 12, 1999","Dec. 31, 2024"
60986,NEWELL BRANDS INC,NWL,"April 27, 1989","Sept. 15, 2023"
61241,ADVANCED MICRO DEVICES INC,AMD,"March 20, 2017","Dec. 31, 2024"
61399,LOWES COMPANIES INC,LOW,"March 1, 1984","Dec. 31, 2024"
61516,BIO RAD LABORATORIES INC,BIO,"June 22, 2020","Sept. 20, 2024"
61621,PAYCHEX INC,PAYX,"Oct. 1, 1998","Dec. 31, 2024"
61735,AON PLC NEW,AON,"April 23, 1996","Dec. 31, 2024"
62092,THERMO FISHER SCIENTIFIC INC,TMO,"Jan. 2, 1997","Dec. 31, 2024"
62148,C S X CORP,CSX,"Nov. 6, 1980","Dec. 31, 2024"
62308,GLOBE LIFE INC,GL,"April 27, 1989","Dec. 31, 2024"
62498,WEST PHARMACEUTICAL SERVICES INC,WST,"May 22, 2020","Dec. 31, 2024"
63467,BROWN & BROWN INC,BRO,"Sept. 20, 2021","Dec. 31, 2024"
64186,CIGNA CORP NEW,CI,"April 8, 1982","Dec. 31, 2024"
64282,BATH & BODY WORKS INC,BBWI,"Sept. 15, 1983","Sept. 30, 2024"
64311,NORFOLK SOUTHERN CORP,NSC,"June 3, 1982","Dec. 31, 2024"
64390,PROGRESSIVE CORP OH,PGR,"Aug. 4, 1997","Dec. 31, 2024"
64653,PUBLIC STORAGE,PSA,"Aug. 19, 2005","Dec. 31, 2024"
64936,DOMINION ENERGY INC,D,"May 20, 1983","Dec. 31, 2024"
64995,KEYCORP NEW,KEY,"March 2, 1994","Dec. 31, 2024"
65402,SMITH A O CORP,AOS,"July 26, 2017","Dec. 31, 2024"
65541,COOPER COMPANIES INC,COO,"Sept. 23, 2016","Dec. 31, 2024"
65875,VERIZON COMMUNICATIONS INC,VZ,"Dec. 1, 1983","Dec. 31, 2024"
65947,WELLTOWER INC,WELL,"Jan. 30, 2009","Dec. 31, 2024"
66093,A T & T INC,T,"Dec. 1, 1983","Dec. 31, 2024"
66157,U S BANCORP DEL,USB,"Oct. 23, 1995","Dec. 31, 2024"
66181,HOME DEPOT INC,HD,"March 3, 1988","Dec. 31, 2024"
66384,WESTERN DIGITAL CORP,WDC,"July 1, 2009","Dec. 31, 2024"
66800,AMERICAN INTERNATIONAL GROUP INC,AIG,"Feb. 14, 1980","Dec. 31, 2024"
67598,HEALTHPEAK PROPERTIES INC,PEAK,"March 31, 2008","Dec. 31, 2024"
69032,MORGAN STANLEY DEAN WITTER & CO,MS,"Sept. 22, 1995","Dec. 31, 2024"
69649,RAYMOND JAMES FINANCIAL INC,RJF,"March 20, 2017","Dec. 31, 2024"
69796,CONSTELLATION BRANDS INC,STZ,"July 5, 2005","Dec. 31, 2024"
70519,CITIGROUP INC,C,"May 26, 1988","Dec. 31, 2024"
70578,ECOLAB INC,ECL,"Jan. 12, 1989","Dec. 31, 2024"
71563,TRUIST FINANCIAL CORP,TFC,"Dec. 4, 1997","Dec. 31, 2024"
72726,STATE STREET CORP,STT,"Aug. 15, 1997","Dec. 31, 2024"
73139,STRYKER CORP,SYK,"Dec. 12, 2000","Dec. 31, 2024"
75034,BAKER HUGHES CO,BKR,"April 9, 1987","Dec. 31, 2024"
75154,CARNIVAL CORP,CCL,"Dec. 22, 1998","Dec. 31, 2024"
75186,SCHWAB CHARLES CORP NEW,SCHW,"June 2, 1997","Dec. 31, 2024"
75241,PIONEER NATURAL RESOURCES CO,PXD,"Sept. 24, 2008",7-May-24
75510,ADOBE INC,ADBE,"May 6, 1997","Dec. 31, 2024"
75591,IDEX CORP,IEX,"Aug. 9, 2019","Dec. 31, 2024"
75607,GEN DIGITAL INC,GEN,"March 31, 2003","Dec. 31, 2024"
75694,BIO TECHNE CORP,TECH,"Aug. 30, 2021","Dec. 31, 2024"
75819,VENTAS INC,VTR,"March 4, 2009","Dec. 31, 2024"
75825,EOG RESOURCES INC,EOG,"Nov. 2, 2000","Dec. 31, 2024"
75828,ELECTRONIC ARTS INC,EA,"July 22, 2002","Dec. 31, 2024"
75912,P T C INC,PTC,"April 20, 2021","Dec. 31, 2024"
